"molregno","gene_id","tool_score","strength","selectivity","investigation_bias","wilcox_pval","IC50_diff","ontarget_IC50_Q1","offtarget_IC50_Q1","ontarget_IC50_N","offtarget_IC50_N","N_total"
71663,5129,5.02325945922866,8,0.627907432403583,0.00221238938053097,0.00171654998249556,2.10473535052001,44,5600,2,902,904
71663,5127,5.75476483455775,8,0.719345604319719,0.00221238938053097,0.00120478723197623,2.89692967828713,7.1,5600,2,902,904
71663,2931,5.36865829708626,8,0.671082287135783,0.00331858407079646,0.000180579437613844,2.30102999566398,28,5600,3,901,904
71663,5128,5.51607793176988,8,0.689509741471235,0.00221238938053097,0.00128854374353349,2.63424467469936,13,5600,2,902,904
387990,5294,5.56746994361098,8,0.695933742951373,0.00440528634361234,0.000447940954089894,2.60686369973078,24.725,10000,2,452,454
387990,5290,6.8388302335508,8,0.85485377919385,0.0242290748898678,3.73898179893415e-14,2.08092190762393,83,10000,11,443,454
77749,1066,5.27700359809365,8,0.659625449761706,0.105263157894737,0.0141241009894136,2.88241068437397,2.5,1907,2,17,19
299120,1956,8.79863286273018,8,1.09982910784127,0.0428265524625268,1e-15,4.02694162795903,0.625,6650,20,447,467
299120,2064,6.82534506766971,8,0.853168133458713,0.0149892933618844,3.70992588142601e-07,3.43735412784817,2,5475,7,460,467
299120,6788,5.23399473591443,8,0.654249341989304,0.00428265524625268,0.00394622738798478,2.42032846491959,19.375,5100,2,465,467
688347,2159,5.66469542765667,8,0.708086928457083,0.181818181818182,0.0101582914688423,3.5196010355191,9.975,33000,2,9,11
1177420,2914,5.49576446610075,8,0.686970558262593,0.153846153846154,0.00253119878605162,3.1249387366083,7.5,10000,2,11,13
338094,6790,5.46914276405246,8,0.683642845506557,0.111111111111111,0.00287093468341366,2.97772360528885,1,950,3,24,27
359579,2159,6.43133762870598,8,0.803917203588248,0.166666666666667,0.0193966926224262,4.39280036901963,0.17,4200,2,10,12
1427194,2932,5.45213899788887,8,0.681517374736109,0.133333333333333,0.00812401460046221,3.1156105116743,20,26100,2,13,15
371147,2322,7.84685627746949,8,0.980857034683686,0.0173116089613035,1.0638837408038e-14,3.08502697337212,2.6,3162.28,17,965,982
371147,3791,6.82470104518046,8,0.853087630647557,0.0112016293279022,4.75303725946174e-10,2.84678780756759,4.5,3162.28,11,971,982
371147,2321,5.85537620200207,8,0.731922025250258,0.00610997963340122,1.08587154535139e-05,2.61278385671974,7.5,3075,6,976,982
371147,3815,7.67574280458464,8,0.95946785057308,0.0173116089613035,3.62346623044634e-13,3.19897032567895,2,3162.28,17,965,982
371147,5156,5.73177102809816,8,0.716471378512269,0.00305498981670061,0.000882727685028833,2.84657272558026,4.2,2950,3,979,982
371147,1436,6.0056851791585,8,0.750710647394812,0.00407331975560081,8.91164022462833e-05,2.95860731484178,3.3,3000,4,978,982
371147,2324,5.533226979903,8,0.691653372487875,0.00509164969450102,4.83839271615504e-05,2.3770955246118,12.59,3000,5,977,982
