"symbol","tax_id","gene_id"
"AWAT1",9606,158833
"AWAT2",9606,158835
"AXIN1",9606,8312
"AXIN1",9606,8312
"Axin2",10090,12006
"AXIN2",9606,8313
"AXL",9606,558
"B3GALT1",9606,8708
"B3galt4",10116,171079
"B3GALT5",9606,10317
"B3GNT3",9606,10331
"B3GNT6",9606,192134
"B4GALT1",9606,2683
"B4GALT1",9913,281781
"Bace1",10090,23821
"Bace1",10116,29392
"BACE1",9606,23621
"BACE1",9606,23621
"Bace2",10090,56175
"Bace2",10116,288227
"BACE2",9606,25825
"BACE2",9606,25825
"Bad",10090,12015
"BAD",9606,572
"BAK1",9606,578
"BAK1",9606,578
"BAP1",9606,8314
"Bax",10090,12028
"BAX",9606,581
"BAZ1B",9606,9031
"BAZ2A",9606,11176
"BAZ2B",9606,29994
"BBOX1",9606,8424
"Bcat1",10116,29592
"BCAT1",9606,586
"Bcat2",10116,64203
"BCAT2",9606,587
"BCDIN3D",9606,144233
"Bche",10090,12038
"Bche",10116,65036
"Bche",10116,65036
"BCHE",9606,590
"BCHE",9606,590
"BCHE",9796,100033901
"BCHE",9796,100033901
"BCL2",9606,596
"BCL2A1",9606,597
"Bcl2a1a",10090,12044
"Bcl2l1",10116,24888
"BCL2L1",9606,598
"BCL2L1",9606,598
"BCL2L10",9606,10017
"BCL2L11",9606,10018
"BCL2L2",9606,599
"BCR",9606,613
"BCR",9606,613
"BCRP1",9606,644079
"Bdkrb1",10090,12061
"Bdkrb1",10116,81509
"BDKRB1",9541,102123453
"BDKRB1",9544,712251
"BDKRB1",9606,623
"BDKRB1",9615,490847
"BDKRB1",9986,100009198
"Bdkrb2",10116,25245
"BDKRB2",9606,624
"BDKRB2",9986,100328963
"BDKRB2",9986,100338359
"BDP1",9606,55814
"BHMT",9606,635
"BHMT",9606,635
"BHMT2",9606,23743
"BHMT2",9606,23743
"birA",83332,888726
"BIRC2",9606,329
"BIRC2",9606,329
"BIRC2",9606,329
"BIRC3",9606,330
"BIRC3",9606,330
"BIRC5",9606,332
"BIRC7",9606,79444
"BIRC8",9606,112401
"bla",287,4290808
"bla",287,4290808
"bla",562,20466993
"bla",562,5961992
"bla",562,8319056
"bla",562,3244915
"bla",562,20468887
"bla",562,8319064
"bla",562,20466965
"bla",562,13906529
"bla",562,8319161
"bla",562,6382192
"bla",562,8319307
"bla",562,8319247
"bla",562,8319163
"bla",562,20466993
"bla",562,5961992
"bla",562,8319056
"bla",562,3244915
"bla",562,20468887
"bla",562,8319064
"bla",562,20466965
"bla",562,13906529
"bla",562,8319161
"bla",562,6382192
"bla",562,8319307
"bla",562,8319247
"bla",562,8319163
"bla",562,20466993
"bla",562,5961992
"bla",562,8319056
"bla",562,3244915
"bla",562,20468887
"bla",562,8319064
"bla",562,20466965
"bla",562,13906529
"bla",562,8319161
"bla",562,6382192
"bla",562,8319307
"bla",562,8319247
"bla",562,8319163
"bla",562,20466993
"bla",562,5961992
"bla",562,8319056
"bla",562,3244915
"bla",562,20468887
"bla",562,8319064
"bla",562,20466965
"bla",562,13906529
"bla",562,8319161
"bla",562,6382192
"bla",562,8319307
"bla",562,8319247
"bla",562,8319163
"bla",562,20466993
"bla",562,5961992
"bla",562,8319056
"bla",562,3244915
"bla",562,20468887
"bla",562,8319064
"bla",562,20466965
"bla",562,13906529
"bla",562,8319161
"bla",562,6382192
"bla",562,8319307
"bla",562,8319247
"bla",562,8319163
"bla",573,1238792
"bla",573,1238792
"bla",573,1238792
"bla",573,1238792
"bla",573,1238792
"bla",573,1238792
"blaACC-4",562,10076149
"blaCTX-M-14",562,9720867
"blaCTX-M-14",562,13905118
"blaCTX-M-14",562,13906191
"blaCTX-M-14",562,13906293
"blaCTX-M-14",562,11185609
"blaCTX-M-14",562,9846077
"blaCTX-M-14b",562,16632589
"blaCTX-M-15",573,10228415
"blaCTX-M-15",573,18262117
"blaCTX-M-15",573,18262426
"blaCTX-M-53",356621,7065825
"blaDHA-1",573,15407942
"blaDHA-1",573,17434171
"blaDHA-1",573,18194721
"blaDHA-1",573,9389519
"blaKPC-2",562,18983503
"blaKPC-2",562,20467096
"blaKPC-2",562,17688607
"blaKPC-2",573,18983479
"blaKPC-2",573,9389494
"blaKPC-2",573,13923837
"blaKPC-2",573,30522711
"blaKPC-2",573,18983485
"blaKPC-2",573,15077276
"blaKPC-2",573,18985416
"blaKPC-2",573,18983482
"blaKPC-2",573,15564405
"blaKPC-2",573,18261808
"blaKPC-2",573,18983479
"blaKPC-2",573,9389494
"blaKPC-2",573,13923837
"blaKPC-2",573,30522711
"blaKPC-2",573,18983485
"blaKPC-2",573,15077276
"blaKPC-2",573,18985416
"blaKPC-2",573,18983482
"blaKPC-2",573,15564405
"blaKPC-2",573,18261808
"blaNDM-1",573,13914060
"blaNDM-1",573,15414734
"blaNDM-1",573,13913959
"blaNDM-1",573,17373266
"blaNDM-1",573,14858116
"blaNDM-1",573,14258327
"blaNDM-1",573,18983573
"blaNDM-1",573,13914125
"blaOXA-24",470,7996741
"blaOXA-58",470,6155789
"blaSCO-1",562,10076137
"blaTEM-1",562,13906404
"blaTEM-1",562,9537966
"blaTEM-1",562,13906924
"blaTEM-1",562,14612524
"blaTEM-1",562,9538274
"blaTEM-1",562,9538101
"blaTEM-1",562,9846067
"blaTEM-1",562,10076142
"blaTEM-1",562,13906709
"blaTEM-1",562,13905363
"blaTEM-1",562,17688640
"blaTEM-1",562,10076131
"blaTEM-1",562,20471961
"blaTEM-1",562,13876868
"blaTEM-1",562,20467118
"blaTEM-1",562,13906842
"blaTEM-1",562,13982295
"blaTEM-1",562,7872413
"blaTEM-1",573,18983481
"blaTEM-1",573,18983478
"blaTEM-1",573,18983484
"blaTEM-1",573,6325276
"blaTEM-1",573,14258323
"blaTEM-1",573,18262323
"blaTEM-1",573,18985415
"blaTEM-1b",550,13919456
"blaTEM-1b",573,18261753
"blaTEM-1b",573,18983445
"blaTEM-208",573,20474332
"blaVIM-1",573,9487134
"blaVIM-1",573,16185030
"blaVIM-1",573,15957731
"blaVIM-2",287,14678525
"blaVIM-2",287,14678525
"blaVIM-7",287,5495347
"blaZ",1280,13875919
"blaZ",1280,13874437
"blaZ",1280,13877879
"blaZ",1280,8677031
"blaZ",1280,13875430
"blaZ",1280,13875254
"blaZ",1280,13875291
"blaZ",1280,13875510
"blaZ",1280,2598287
"blaZ",1280,13875212
"blaZ",1280,13874473
"blaZ",1280,13876334
"blaZ",1280,13875858
"blaZ",1280,17363235
"blaZ",1280,13874849
"blaZ",1280,2598316
"blaZ",1280,13874966
"blaZ",1280,2610354
"blaZ",1280,13874750
"blaZ",1280,13877787
"blaZ",1280,13874518
"blaZ",1280,13874282
"blaZ",1280,8655740
"blaZ",1280,13874381
"blaZ",1280,13874668
"blaZ",1280,13874607
"blaZ",1280,13874538
"blaZ",1280,13875133
"blaZ",1280,13874569
"blaZ",1280,13877805
"blaZ",1280,13874332
"blaZ",1280,13874362
"blaZ",1280,13874903
"blaZ",1280,13874719
"blaZ",1280,13874305
"blaZ",1280,13875951
"blaZ",1280,3978604
"Blk",10090,12143
"BLK",9606,640
"BLK",9606,640
"BLM",9606,641
"BMP1",9606,649
"BMP2",9606,650
"BMP2K",9606,55589
"Bmp4",10090,12159
"BMP4",9606,652
"BMP6",9606,654
"BMPR1A",9606,657
"BMPR1B",9606,658
"BMPR2",9606,659
"Bmx",10090,12169
"BMX",9606,660
"BNA4",559292,852179
"BPTF",9606,2186
"Braf",10090,109880
"BRAF",9606,673
"BRAF",9606,673
"BRCA1",9606,672
"BRD1",9606,23774
"BRD2",9606,6046
"BRD3",9606,8019
"Brd4",10090,57261
"BRD4",9606,23476
"BRD7",9606,29117
"BRD8",9606,10902
"BRD9",9606,65980
"BRDT",9606,676
"BRPF1",9606,7862
"BRPF3",9606,27154
"Brs3",10090,12209
"Brs3",10116,260319
"BRS3",9606,680
"BRSK1",9606,84446
"BRSK2",9606,9024
"BRWD1",9606,54014
"BSG",9606,682
"Btk",10090,12229
"BTK",9606,695
"BTS1",559292,856036
"BUB1",9606,699
"BUD32",559292,853178
"C",10407,944568
"C1GALT1",9606,56913
"C1R",9606,715
"C1S",9606,716
"C3",9606,718
"C3AR1",9606,719
"C5",9606,727
"C5ar1",10090,12273
"C5ar1",10116,113959
"C5AR1",9606,728
"C5AR1",9615,442974
"CA1",9606,759
"CA1",9606,759
"CA11",9606,770
"CA12",9606,771
"CA12",9606,771
"CA13",9606,377677
"CA13",9606,377677
"CA14",9606,23632
"CA14",9606,23632
"CA2",9606,760
"CA2",9606,760
"CA2",9606,760
"CA2",9913,280740
"CA2",9913,280740
"CA3",9606,761
"CA3",9606,761
"CA3",9913,513212
"CA3",9913,513212
"CA4",9606,762
"CA4",9606,762
"CA4",9913,280741
"CA4",9913,280741
"CA5A",9606,763
"CA5A",9606,763
"CA5A",9606,763
"CA5B",9606,11238
"CA5B",9606,11238
"CA5B",9606,11238
"CA6",9606,765
"CA6",9606,765
"CA6",9913,280742
"CA7",9606,766
"CA7",9606,766
"CA9",9606,768
"CA9",9606,768
"CA9",9606,768
"CACNA1A",9606,773
"CACNA1A",9606,773
"Cacna1b",10090,12287
"Cacna1b",10116,257648
"CACNA1B",9606,774
"CACNA1B",9606,774
"CACNA1B",9606,774
"Cacna1c",10090,12288
"Cacna1c",10116,24239
"Cacna1c",10116,24239
"CACNA1C",9606,775
"CACNA1C",9606,775
"CACNA1C",9606,775
"CACNA1C",9986,100101555
"CACNA1C",9986,100101555
"Cacna1d",10116,29716
"Cacna1d",10116,29716
"Cacna1d",10116,29716
"Cacna1d",10116,29716
"CACNA1D",9606,776
